"Date","Price","Open","High","Low","Vol.","Change %"
"04/20/2016","105.900","106.040","106.800","105.250","","-0.94%"
"04/19/2016","106.900","106.200","106.900","106.200","","0.19%"
"04/18/2016","106.700","106.610","107.240","105.940","","-0.23%"
"04/15/2016","106.950","106.250","107.000","106.250","","0.19%"
"04/14/2016","106.750","106.100","106.800","105.600","","0.14%"
"04/13/2016","106.600","106.160","107.160","105.620","","-0.05%"
"04/12/2016","106.650","106.240","106.990","105.600","","0.34%"
"04/11/2016","106.290","106.400","106.410","105.640","","-0.07%"
"04/08/2016","106.360","105.860","106.360","105.860","","0.00%"
"04/07/2016","106.360","106.750","107.250","105.770","","-0.27%"
"04/06/2016","106.650","106.270","107.240","105.700","","0.19%"
"04/05/2016","106.450","106.000","106.910","105.220","","0.19%"
"04/04/2016","106.250","106.080","106.700","105.270","","0.14%"
"04/01/2016","106.100","105.650","106.520","105.520","","-0.05%"
"03/31/2016","106.150","106.160","106.510","105.380","","-0.33%"
"03/30/2016","106.500","106.370","106.900","105.610","","-0.42%"
"03/29/2016","106.950","106.400","107.150","105.850","","0.00%"
"03/28/2016","106.950","107.040","107.590","106.000","","-0.09%"
"03/25/2016","107.050","106.550","107.050","106.550","","0.00%"
"03/24/2016","107.050","106.550","107.050","106.550","","0.00%"
"03/23/2016","107.050","106.800","107.540","106.100","","0.29%"
"03/22/2016","106.740","106.530","107.430","105.930","","-0.57%"
"03/21/2016","107.350","106.340","107.430","105.770","","0.51%"
"03/18/2016","106.800","106.590","107.200","105.890","","-0.14%"
"03/17/2016","106.950","107.040","107.620","106.130","","-0.57%"
"03/16/2016","107.560","107.760","107.930","107.050","","-0.23%"
"03/15/2016","107.810","107.550","108.350","106.980","","0.10%"
"03/14/2016","107.700","107.180","107.940","106.500","","-0.05%"
"03/11/2016","107.750","107.460","108.040","106.610","","0.14%"
"03/10/2016","107.600","107.580","108.080","106.680","","-0.28%"
"03/09/2016","107.900","107.920","108.510","106.990","","-0.09%"
"03/08/2016","108.000","107.540","108.420","107.040","","0.19%"
"03/07/2016","107.800","107.200","107.800","107.200","","0.09%"
"03/04/2016","107.700","107.570","108.250","106.820","","-0.28%"
"03/03/2016","108.000","107.840","108.420","107.150","","-0.06%"
"03/02/2016","108.070","108.380","108.910","107.550","","-0.47%"
"03/01/2016","108.580","109.220","109.860","108.070","","-1.29%"
"02/29/2016","110.000","109.900","110.480","108.870","","-0.09%"
"02/26/2016","110.100","109.970","110.350","109.300","","-0.05%"
"02/25/2016","110.150","109.550","110.550","109.060","","0.05%"
"02/24/2016","110.100","109.840","110.340","109.090","","0.09%"
"02/23/2016","110.000","109.840","110.390","109.030","","0.05%"
"02/22/2016","109.950","109.760","110.400","109.100","","0.05%"
"02/19/2016","109.900","109.400","110.000","109.050","","0.00%"
"02/18/2016","109.900","109.420","110.220","108.840","","0.14%"
"02/17/2016","109.750","109.580","110.370","108.930","","0.05%"
"02/16/2016","109.700","109.010","109.990","108.510","","0.92%"
"02/15/2016","108.700","109.100","109.600","108.200","","-0.73%"
"02/12/2016","109.500","109.410","110.050","108.530","","0.23%"
"02/11/2016","109.250","108.720","109.850","108.150","","0.51%"
"02/10/2016","108.700","108.640","109.270","108.000","","-0.18%"
"02/09/2016","108.900","109.020","109.640","108.130","","0.00%"
"02/08/2016","108.900","108.560","109.240","107.940","","-0.05%"
"02/05/2016","108.950","108.260","109.100","107.630","","0.81%"
"02/04/2016","108.070","108.560","108.620","107.570","","-1.13%"
"02/03/2016","109.300","109.100","109.710","108.350","","0.32%"
"02/02/2016","108.950","108.560","109.280","107.940","","0.14%"
"02/01/2016","108.800","108.430","109.080","107.710","","0.00%"
"01/29/2016","108.800","108.960","109.490","107.950","","-0.59%"
"01/28/2016","109.450","109.040","109.710","108.330","","0.55%"
"01/27/2016","108.850","108.640","109.430","108.150","","0.28%"
"01/26/2016","108.550","108.300","108.800","108.000","","-0.23%"
"01/25/2016","108.800","108.060","109.040","107.560","","0.37%"
"01/22/2016","108.400","108.480","109.030","107.670","","-0.60%"
"01/21/2016","109.050","108.610","109.450","108.020","","0.05%"
"01/20/2016","109.000","108.430","109.570","107.940","","0.55%"
"01/19/2016","108.400","108.270","108.860","107.540","","0.10%"
"01/18/2016","108.290","108.320","108.370","107.490","","0.12%"
"01/15/2016","108.160","107.760","108.820","107.100","","0.33%"
"01/14/2016","107.800","107.170","108.190","106.670","","0.56%"
"01/13/2016","107.200","106.910","107.570","106.260","","0.09%"
"01/12/2016","107.100","106.930","107.650","106.280","","0.05%"
"01/11/2016","107.050","107.040","107.560","106.000","","0.05%"
"01/08/2016","107.000","106.800","107.330","106.060","","0.00%"
"01/07/2016","107.000","106.980","107.640","106.000","","0.07%"
"01/06/2016","106.920","106.720","106.940","106.160","","0.16%"
"01/05/2016","106.750","106.400","107.140","105.780","","-0.09%"
"01/04/2016","106.850","105.330","107.090","105.330","","0.97%"
"01/01/2016","105.825","105.890","106.015","105.300","","-0.02%"
"12/31/2015","105.850","106.320","106.330","105.240","","-0.61%"
"12/30/2015","106.500","106.320","106.850","105.690","","0.24%"
"12/29/2015","106.240","106.000","106.280","105.510","","0.28%"
"12/28/2015","105.940","105.760","106.440","105.250","","0.00%"
"12/25/2015","105.940","105.440","105.940","105.440","","0.00%"
"12/24/2015","105.940","105.440","105.940","105.440","","0.00%"
"12/23/2015","105.940","106.020","106.530","105.290","","-0.17%"
"12/22/2015","106.120","106.090","106.170","105.540","","-0.05%"
"12/21/2015","106.170","106.160","106.180","105.530","","-0.31%"
"12/18/2015","106.500","106.370","106.940","105.600","","0.00%"
"12/17/2015","106.500","106.590","107.180","105.770","","-0.26%"
"12/16/2015","106.780","107.040","107.580","106.230","","-0.28%"
"12/15/2015","107.080","107.250","107.410","106.570","","-0.25%"
"12/14/2015","107.350","107.340","107.410","106.630","","0.32%"
"12/11/2015","107.010","106.860","107.530","106.280","","0.24%"
"12/10/2015","106.750","107.010","107.510","106.240","","-0.17%"
"12/09/2015","106.930","106.930","107.570","106.250","","-0.02%"
"12/08/2015","106.950","106.960","107.460","106.240","","0.12%"
"12/07/2015","106.820","106.720","107.290","106.010","","0.09%"
"12/04/2015","106.720","107.120","107.680","106.200","","0.07%"
"12/03/2015","106.650","106.670","106.830","106.120","","0.09%"
"12/02/2015","106.550","106.430","106.680","105.850","","0.15%"
"12/01/2015","106.390","106.430","106.570","105.790","","-0.27%"
"11/30/2015","106.680","106.850","106.980","106.100","","-0.13%"
"11/27/2015","106.820","106.640","107.510","106.150","","0.29%"
"11/26/2015","106.510","106.160","107.170","105.670","","0.37%"
"11/25/2015","106.120","105.620","106.120","105.620","","0.00%"
"11/24/2015","106.120","106.190","106.350","105.590","","-0.23%"
"11/23/2015","106.360","105.840","106.370","105.350","","0.43%"
"11/20/2015","105.900","105.760","106.530","105.220","","0.01%"
"11/19/2015","105.890","105.760","106.470","105.170","","-0.17%"
"11/18/2015","106.070","105.790","106.110","105.250","","0.40%"
"11/17/2015","105.650","105.520","106.240","104.950","","0.05%"
"11/16/2015","105.600","105.920","106.010","105.010","","-0.15%"
"11/13/2015","105.760","105.890","105.980","105.250","","-0.32%"
"11/12/2015","106.100","105.600","106.100","105.600","","0.00%"
"11/11/2015","106.100","105.600","106.100","105.600","","0.00%"
"11/10/2015","106.100","106.290","106.870","105.580","","-0.20%"
"11/09/2015","106.310","106.260","106.390","105.600","","1.04%"
"11/06/2015","105.220","105.280","105.840","104.670","","0.02%"
"11/05/2015","105.200","104.960","105.240","104.470","","0.41%"
"11/04/2015","104.770","104.900","105.490","104.230","","-0.26%"
"11/03/2015","105.040","104.770","105.620","104.170","","0.10%"
"11/02/2015","104.940","104.620","105.480","104.080","","0.04%"
"10/30/2015","104.900","104.420","105.100","103.690","","0.29%"
"10/29/2015","104.600","104.240","105.000","103.690","","0.29%"
"10/28/2015","104.300","104.110","104.640","103.370","","0.00%"
"10/27/2015","104.300","103.950","104.480","103.400","","0.56%"
"10/26/2015","103.720","104.000","104.520","103.210","","-0.01%"
"10/23/2015","103.730","103.680","103.930","103.140","","-0.45%"
"10/22/2015","104.200","103.700","104.200","103.700","","0.00%"
"10/21/2015","104.200","104.140","104.850","103.640","","0.10%"
"10/20/2015","104.100","103.920","104.590","103.270","","0.40%"
"10/19/2015","103.690","103.630","103.750","103.080","","0.00%"
"10/16/2015","103.690","103.790","104.530","103.170","","-0.03%"
"10/15/2015","103.720","104.100","104.600","103.050","","-0.33%"
"10/14/2015","104.060","104.180","104.780","103.510","","-0.56%"
"10/13/2015","104.650","103.810","104.840","103.290","","1.01%"
"10/12/2015","103.600","103.710","103.820","103.010","","-1.00%"
"10/09/2015","104.650","103.840","104.650","103.060","","0.00%"
"10/08/2015","104.650","104.050","104.830","103.560","","0.65%"
"10/07/2015","103.970","104.480","105.080","103.430","","-0.66%"
"10/06/2015","104.660","104.400","105.190","103.900","","0.18%"
"10/05/2015","104.470","104.400","105.030","103.820","","-0.33%"
"10/02/2015","104.820","104.320","104.820","104.320","","0.00%"
"10/01/2015","104.820","104.930","105.560","104.290","","-0.11%"
"09/30/2015","104.940","105.390","105.400","104.420","","-0.86%"
"09/29/2015","105.850","106.130","106.760","104.990","","0.17%"
"09/28/2015","105.670","105.780","106.340","105.130","","-0.59%"
"09/25/2015","106.300","105.800","106.300","105.800","","0.00%"
"09/24/2015","106.300","105.920","106.530","105.170","","0.66%"
